ts,iso,instance,value,trades,alive
1784858586,2026-07-24T02:03:06Z,squeeze-niche,10009.0,1,True
1784858586,2026-07-24T02:03:06Z,turtle-niche,10000.0,0,True
1784858586,2026-07-24T02:03:06Z,squeeze-aggr,10000.0,0,True
1784862187,2026-07-24T03:03:07Z,squeeze-majors,10000.0,0,True
1784862187,2026-07-24T03:03:07Z,turtle-majors,10000.0,0,True
1784862187,2026-07-24T03:03:07Z,squeeze-wide,10000.0,0,True
1784862187,2026-07-24T03:03:07Z,turtle-wide,10000.0,0,True
1784862187,2026-07-24T03:03:07Z,squeeze-fut3,9985.54,2,True
1784862187,2026-07-24T03:03:07Z,lev10,9960.12,9,True
1784862187,2026-07-24T03:03:07Z,lev100,8162.24,49,True
1784862187,2026-07-24T03:03:07Z,squeeze-niche,10016.0,1,True
1784862187,2026-07-24T03:03:07Z,turtle-niche,10000.0,0,True
1784862187,2026-07-24T03:03:07Z,squeeze-aggr,10000.0,0,True
1784865787,2026-07-24T04:03:07Z,squeeze-majors,10000.0,0,True
1784865787,2026-07-24T04:03:07Z,turtle-majors,10000.0,0,True
1784865787,2026-07-24T04:03:07Z,squeeze-wide,10000.0,0,True
1784865787,2026-07-24T04:03:07Z,turtle-wide,10000.0,0,True
1784865787,2026-07-24T04:03:07Z,squeeze-fut3,9984.07,2,True
1784865787,2026-07-24T04:03:07Z,lev10,9955.44,10,True
1784865787,2026-07-24T04:03:07Z,lev100,8104.85,49,True
1784865787,2026-07-24T04:03:07Z,squeeze-niche,10024.0,1,True
1784865787,2026-07-24T04:03:07Z,turtle-niche,10000.0,0,True
1784865787,2026-07-24T04:03:07Z,squeeze-aggr,10000.0,0,True
1784869388,2026-07-24T05:03:08Z,squeeze-majors,10000.0,0,True
1784869388,2026-07-24T05:03:08Z,turtle-majors,10000.0,0,True
1784869388,2026-07-24T05:03:08Z,squeeze-wide,10000.0,0,True
1784869388,2026-07-24T05:03:08Z,turtle-wide,10000.0,0,True
1784869388,2026-07-24T05:03:08Z,squeeze-fut3,9988.3,2,True
1784869388,2026-07-24T05:03:08Z,lev10,9959.64,10,True
1784869388,2026-07-24T05:03:08Z,lev100,7888.33,58,True
1784869388,2026-07-24T05:03:08Z,squeeze-niche,10024.0,1,True
1784869388,2026-07-24T05:03:08Z,turtle-niche,10000.0,0,True
1784869388,2026-07-24T05:03:08Z,squeeze-aggr,10000.0,0,True
1784872988,2026-07-24T06:03:08Z,squeeze-majors,10000.0,0,True
1784872988,2026-07-24T06:03:08Z,turtle-majors,10000.0,0,True
1784872988,2026-07-24T06:03:08Z,squeeze-wide,10000.0,0,True
1784872988,2026-07-24T06:03:08Z,turtle-wide,10000.0,0,True
1784872988,2026-07-24T06:03:08Z,squeeze-fut3,9993.26,2,True
1784872988,2026-07-24T06:03:08Z,lev10,9945.58,11,True
1784872988,2026-07-24T06:03:08Z,lev100,7812.88,60,True
1784872988,2026-07-24T06:03:08Z,squeeze-niche,10033.0,1,True
1784872988,2026-07-24T06:03:08Z,turtle-niche,10000.0,0,True
1784872988,2026-07-24T06:03:08Z,squeeze-aggr,10000.0,0,True
1784876589,2026-07-24T07:03:09Z,squeeze-majors,10000.0,0,True
1784876589,2026-07-24T07:03:09Z,turtle-majors,10000.0,0,True
1784876589,2026-07-24T07:03:09Z,squeeze-wide,10000.0,0,True
1784876589,2026-07-24T07:03:09Z,turtle-wide,10000.0,0,True
1784876589,2026-07-24T07:03:09Z,squeeze-fut3,9991.19,2,True
1784876589,2026-07-24T07:03:09Z,lev10,9934.17,12,True
1784876589,2026-07-24T07:03:09Z,lev100,7625.31,65,True
